"TOA5","CR6Series","CR6","10158","CR6.Std.09.02 CR6-WIFI.04.00.01","CPU:McGill_University_Program_Version34 May 7 2020.CR6","30372","TPS_3100_Data"
"TIMESTAMP","RECORD","RX","TPS_Wind_Spd_ms_Max","TPS_Baro_Press_mbar_Corrected","TPS_Time_Sec","TPS_Precip_Rate_1minAvg_mmHr","TPS_Total_Accum_mm","TPS_Pwr_Sensor_W","TPS_Pwr_Ref_W","TPS_Amb_Temp_C","TPS_Enc_Temp_C","TPS_Wind_Spd_ms","TPS_Coll_Eff","TPS_Pwr_Offset_W","TPS_Pwr_OffsetRad_W","TPS_Raw_Precip_Rate_1minAvg_mmHr","TPS_Raw_Precip_Rate_5minAvg_mmHr","TPS_Solar_Rad_Wm2","TPS_Net_Rad_Wm2","TPS_Baro_Press_mbar","TPS_Air_Temp_C","TPS_RH_perc"
"TS","RN","","","mbar","","","","","","","","","","","","","","","","","",""
"","","Smp","Max","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2020-05-13 00:19:00",7510," 1589330621,00.00,00000.00,023.4,023.4,006.1,014.9,00.5,1.000,000.6,000.2,-0.09,-0.22,0004,-105,0999.6,006.9,26.6  ",0.5,1015,1.589331E+09,0,0,23.4,23.4,6.1,14.9,0.5,1,0.6,0.2,-0.09,-0.22,4,-105,999.6,6.9,26.6
"2020-05-13 00:20:00",7511," 1589330681,00.00,00000.00,030.4,029.5,006.1,014.9,00.8,1.000,000.6,000.2,00.02,-0.26,0004,-103,0999.6,007.0,27.0  ",0.8,1015,1.589331E+09,0,0,30.4,29.5,6.1,14.9,0.8,1,0.6,0.2,0.02,-0.26,4,-103,999.6,7,27
"2020-05-13 00:21:00",7512," 1589330741,00.00,00000.00,028.1,028.1,006.1,014.9,00.8,1.000,000.6,000.2,-0.09,-0.29,0004,-102,0999.6,006.8,27.1  ",0.8,1015,1.589331E+09,0,0,28.1,28.1,6.1,14.9,0.8,1,0.6,0.2,-0.09,-0.29,4,-102,999.6,6.8,27.1
"2020-05-13 00:22:00",7513," 1589330801,00.00,00000.00,031.2,028.7,006.0,014.8,00.8,1.000,000.6,000.2,00.20,-0.15,0003,-102,0999.7,006.8,27.0  ",0.8,1015,1.589331E+09,0,0,31.2,28.7,6,14.8,0.8,1,0.6,0.2,0.2,-0.15,3,-102,999.7,6.8,27
"2020-05-13 00:23:00",7514," 1589330861,00.00,00000.00,029.2,027.1,006.0,014.8,00.7,1.000,000.6,000.2,00.16,-0.14,0003,-100,0999.7,006.8,26.6  ",0.7,1015,1.589331E+09,0,0,29.2,27.1,6,14.8,0.7,1,0.6,0.2,0.16,-0.14,3,-100,999.7,6.8,26.6
"2020-05-13 00:24:00",7515," 1589330921,00.00,00000.00,027.8,027.0,006.1,014.7,00.7,1.000,000.6,000.2,00.00,-0.15,0003,-099,0999.7,006.8,26.4  ",0.7,1015,1.589331E+09,0,0,27.8,27,6.1,14.7,0.7,1,0.6,0.2,0,-0.15,3,-99,999.7,6.8,26.4
"2020-05-13 00:25:00",7516," 1589330981,00.00,00000.00,020.0,016.9,006.0,014.7,00.3,1.000,000.5,000.2,00.29,-0.11,0003,-096,0999.7,006.9,26.7  ",0.3,1015,1.589331E+09,0,0,20,16.9,6,14.7,0.3,1,0.5,0.2,0.29,-0.11,3,-96,999.7,6.9,26.7
"2020-05-13 00:26:00",7517," 1589331041,00.00,00000.00,018.3,015.4,005.9,014.7,00.2,1.000,000.5,000.2,00.27,-0.04,0003,-093,0999.7,006.8,27.1  ",0.2,1015,1.589331E+09,0,0,18.3,15.4,5.9,14.7,0.2,1,0.5,0.2,0.27,-0.04,3,-93,999.7,6.8,27.1
"2020-05-13 00:27:00",7518," 1589331101,00.00,00000.00,031.6,030.8,005.9,014.6,00.9,1.000,000.6,000.2,00.01,-0.04,0003,-090,0999.7,006.7,27.3  ",0.9,1015,1.589331E+09,0,0,31.6,30.8,5.9,14.6,0.9,1,0.6,0.2,0.01,-0.04,3,-90,999.7,6.7,27.3
"2020-05-13 00:28:00",7519," 1589331161,00.00,00000.00,031.1,029.7,006.0,014.6,00.9,1.000,000.6,000.2,00.08,-0.06,0004,-088,0999.7,006.8,26.8  ",0.9,1015,1.589331E+09,0,0,31.1,29.7,6,14.6,0.9,1,0.6,0.2,0.08,-0.06,4,-88,999.7,6.8,26.8
